;0;"""require""";STRLIT;IDENTIFIER;"""function""";"""(""";""")""";"""end""";""":""";TYPE;""",""";"""global""";"""=""";EXPRESSION;"""local""";"""if""";"""then""";"""else""";"""elseif""";"""while""";"""do""";"""return""";"""for""";"""repeat""";"""until""";"""break""";$;
T98;;;;;;;""")"", 35";;;;;;;"EXPRESSION T23 "")"", 36";;;;;;;;;;;;;;
T99;;;;ε, 17;;;;ε, 17;;;""","" TYPE T99, 18";;;;ε, 17;ε, 17;;;;ε, 17;;ε, 17;ε, 17;ε, 17;;ε, 17;;
T100;;;;;;T105, 32;;;;;T106, 33;;T106, 33;;;;;;;;;;;;;;;
T101;;;;;"""function"" ""("" T20 "")"" T107, 13";;;;;TYPE T108, 14;;;;;;;;;;;;;;;;;;
T102;;;;ε, 54;;;;ε, 54;;;;;;EXPRESSION T109, 55;ε, 54;ε, 54;;ε, 54;ε, 54;ε, 54;;ε, 54;ε, 54;ε, 54;;ε, 54;;
T103;;;;;;;""")"", 35";;;;;;;"EXPRESSION T23 "")"", 36";;;;;;;;;;;;;;
T104;;;;ε, 17;;;;;;;""","" TYPE T104, 18";;;;ε, 17;ε, 17;;;;ε, 17;;ε, 17;ε, 17;ε, 17;ε, 17;ε, 17;;
T105;;;;;;"""("" T110, 34";;;;;;;;;;;;;;;;;;;;;;
T106;;;;;;;;;;;"T61 ""="" EXPRESSION T109, 37";;"T61 ""="" EXPRESSION T109, 37";;;;;;;;;;;;;;;
T107;;;;ε, 21;;;;ε, 21;""":"" TYPE T111, 22";;;;;;ε, 21;ε, 21;;ε, 21;ε, 21;ε, 21;;ε, 21;ε, 21;ε, 21;;ε, 21;;
T108;;;;ε, 19;;;;ε, 19;;;;;"""="" EXPRESSION, 20";;ε, 19;ε, 19;;ε, 19;ε, 19;ε, 19;;ε, 19;ε, 19;ε, 19;;ε, 19;;
T109;;;;ε, 40;;;;ε, 40;;;""","" EXPRESSION T109, 41";;;;ε, 40;ε, 40;;ε, 40;ε, 40;ε, 40;;ε, 40;ε, 40;ε, 40;;ε, 40;;
T110;;;;;;;""")"", 35";;;;;;;"EXPRESSION T23 "")"", 36";;;;;;;;;;;;;;
T111;;;;ε, 17;;;;ε, 17;;;""","" TYPE T111, 18";;;;ε, 17;ε, 17;;ε, 17;ε, 17;ε, 17;;ε, 17;ε, 17;ε, 17;;ε, 17;;
"""require""";;pop 0;;;;;;;;;;;;;;;;;;;;;;;;;;
STRLIT;;;pop 0;;;;;;;;;;;;;;;;;;;;;;;;;
IDENTIFIER;;;;pop 0;;;;;;;;;;;;;;;;;;;;;;;;
"""function""";;;;;pop 0;;;;;;;;;;;;;;;;;;;;;;;
"""(""";;;;;;pop 0;;;;;;;;;;;;;;;;;;;;;;
""")""";;;;;;;pop 0;;;;;;;;;;;;;;;;;;;;;
"""end""";;;;;;;;pop 0;;;;;;;;;;;;;;;;;;;;
""":""";;;;;;;;;pop 0;;;;;;;;;;;;;;;;;;;
TYPE;;;;;;;;;;pop 0;;;;;;;;;;;;;;;;;;
""",""";;;;;;;;;;;pop 0;;;;;;;;;;;;;;;;;
"""global""";;;;;;;;;;;;pop 0;;;;;;;;;;;;;;;;
"""=""";;;;;;;;;;;;;pop 0;;;;;;;;;;;;;;;
EXPRESSION;;;;;;;;;;;;;;pop 0;;;;;;;;;;;;;;
"""local""";;;;;;;;;;;;;;;pop 0;;;;;;;;;;;;;
"""if""";;;;;;;;;;;;;;;;pop 0;;;;;;;;;;;;
"""then""";;;;;;;;;;;;;;;;;pop 0;;;;;;;;;;;
"""else""";;;;;;;;;;;;;;;;;;pop 0;;;;;;;;;;
"""elseif""";;;;;;;;;;;;;;;;;;;pop 0;;;;;;;;;
"""while""";;;;;;;;;;;;;;;;;;;;pop 0;;;;;;;;
"""do""";;;;;;;;;;;;;;;;;;;;;pop 0;;;;;;;
"""return""";;;;;;;;;;;;;;;;;;;;;;pop 0;;;;;;
"""for""";;;;;;;;;;;;;;;;;;;;;;;pop 0;;;;;
"""repeat""";;;;;;;;;;;;;;;;;;;;;;;;pop 0;;;;
"""until""";;;;;;;;;;;;;;;;;;;;;;;;;pop 0;;;
"""break""";;;;;;;;;;;;;;;;;;;;;;;;;;pop 0;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;accept;
"""require""";"""require""";;;;;;;;;;;;;;;;;;;;;;;;;;;
STRLIT;STRLIT;;;;;;;;;;;;;;;;;;;;;;;;;;;
IDENTIFIER;IDENTIFIER;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""function""";"""function""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""(""";"""(""";;;;;;;;;;;;;;;;;;;;;;;;;;;
""")""";""")""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""end""";"""end""";;;;;;;;;;;;;;;;;;;;;;;;;;;
""":""";""":""";;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;TYPE;;;;;;;;;;;;;;;;;;;;;;;;;;;
""",""";""",""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""global""";"""global""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""=""";"""=""";;;;;;;;;;;;;;;;;;;;;;;;;;;
EXPRESSION;EXPRESSION;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""local""";"""local""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""if""";"""if""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""then""";"""then""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""else""";"""else""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""elseif""";"""elseif""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""while""";"""while""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""do""";"""do""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""return""";"""return""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""for""";"""for""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""repeat""";"""repeat""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""until""";"""until""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"""break""";"""break""";;;;;;;;;;;;;;;;;;;;;;;;;;;
$;$;;;;;;;;;;;;;;;;;;;;;;;;;;;
